;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
COMT.O;0,0;0,0;0,0;0,0;0,0;0,0;8,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;80,26;4,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,97;0,0;0,0;0,0;0,0;0,0
COPX.K;0,0;0,0;7,21;11,67;0,0;0,0;16,95;4,88;0,0;0,0;0,0;0,0;0,0;0,0;46,46;11,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,35;0,0;0,0;0,0;0,0;0,0
COWZ.K;0,0;0,0;0,0;0,0;0,0;0,0;3,2847;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,7153;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CPER.K;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;62,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,81;0,0;0,0;0,0;0,0;0,0
CPXJ.L;0,0;0,0;34,739999999999995;0,33;0,3;0,0;0,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,36;63,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
CQQQ.K;0,0;0,0;2,8899999999999997;87,66;0,0;0,0;9,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
CRBN.K;0,0;0,0;5,09;6,55;0,0;0,0;9,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;66,14999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,19;0,0;0,0;0,0;0,0;0,0
CSBGU0.S;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-0,07;0,0;0,0;0,0;0,0;0,0
CSBGU3.S;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CSBGU7.S;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,97;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03;0,0;0,0;0,0;0,0;0,0
CSEMUEUR.xbo;0,0;0,0;0,0;0,0;0,0;0,0;98,35;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,65;0,0;0,0;0,0;0,0;0,0
CSJP.S;0,0;0,0;99,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CSNDX.S;0,0;0,0;0,0;0,0;0,0;0,0;2,77;0,0;0,0;0,0;0,6;0,0;0,0;0,0;96,47000000000001;0,14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02;0,0;0,0;0,0;0,0;0,0
CSP1.L;0,0;0,0;0,09;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CSPX.L;0,0;0,0;0,09;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CSPXJ.S;0,0;0,0;34,739999999999995;0,33;0,3;0,0;0,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,36;63,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
CSUK.S;0,0;0,0;0,03;0,0;0,0;0,0;99,36;0,0;0,0;0,22;0,0;0,0;0,0;0,0;0,0;0,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,36;0,0;0,0;0,0;0,0;0,0
CSUKX.S;0,0;0,0;0,02;0,0;0,0;0,0;99,33;0,0;0,0;0,17;0,0;0,0;0,0;0,0;0,19;0,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,27;0,0;0,0;0,0;0,0;0,0
CSUS.S;0,0;0,0;0,08;0,0;0,0;0,0;2,32;0,0;0,0;0,0;0,18;0,0;0,0;0,0;97,37;0,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
CSUSS.S;0,0;0,0;0,14;0,29;0,0;0,0;2,52;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,41;0,0;0,0;0,0;0,0;0,0
CXSE.O;0,0;0,0;14,87;81,1;0,0;0,0;3,77;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03;0,0;0,0;0,0;0,0;0,0
D5BM.DE;0,0;0,0;2,38;0,0;0,0;0,0;7,84;0,0;0,0;0,0;0,41;0,0;0,0;0,0;88,95;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,42;0,0;0,0;0,0;0,0;0,0
DAX.O;0,0;0,0;0,0;0,0;0,0;0,0;99,73;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,27;0,0;0,0;0,0;0,0;0,0
DBA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;62,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,78;0,0;0,0;0,0;0,0;0,0
DBB;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;53,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;46,78;0,0;0,0;0,0;0,0;0,0
DBC;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;59,73;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40,27;0,0;0,0;0,0;0,0;0,0
DBEF.K;0,0;0,0;21,97;0,0;0,0;0,0;55,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,3;0,0;0,0;0,0;0,0;0,0
